,location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
127,Monaco,Europe,39244,86.75,13.8,
162,San Marino,Europe,33938,84.97,3.8,56861.47
87,Hong Kong,Asia,7496988,84.86,,56054.92
99,Japan,Asia,126476458,84.63,13.05,39002.223
37,Cayman Islands,North America,65720,83.92,,49903.029
183,Switzerland,Europe,8654618,83.78,4.53,57410.166
3,Andorra,Europe,77265,83.73,,
169,Singapore,Asia,5850343,83.62,2.4,85535.383
177,Spain,Europe,46754783,83.56,2.97,34272.36
97,Italy,Europe,60461828,83.51,3.18,35220.084
